,Made Donation in March 2007
659,0.721338
276,0.438577
263,0.271796
303,0.377386
83,0.608074
500,0.64874
530,0.621998
244,0.153947
249,0.0656491
728,0.260127
129,0.559735
534,0.287913
317,0.417485
401,0.271796
696,0.624752
192,0.170299
176,0.382615
571,0.47969
139,0.312641
423,0.661837
563,0.757057
56,0.608074
528,0.59313
101,0.271796
467,0.755258
382,0.417667
466,0.799086
294,0.153947
512,0.802832
659,0.721338
389,0.441374
487,0.312641
701,0.381338
419,0.475657
536,0.275196
240,0.37311
508,0.468511
515,0.153947
283,0.620653
650,0.271796
65,0.788176
228,0.319908
741,0.222789
297,0.764093
464,0.339775
63,0.381338
231,0.8067
28,0.333421
248,0.153947
357,0.343472
300,0.626699
726,0.418225
680,0.410239
520,0.596488
254,0.161889
582,0.360175
143,0.562815
98,0.821011
1,0.750083
221,0.622334
352,0.271796
64,0.123279
138,0.359483
745,0.562511
64,0.123279
688,0.106125
623,0.336537
289,0.348363
174,0.476067
690,0.271796
105,0.368002
427,0.395058
48,0.0830881
14,0.271796
657,0.421921
301,0.291352
455,0.343472
579,0.441941
722,0.321107
98,0.821011
491,0.0830881
303,0.377386
466,0.799086
65,0.788176
300,0.626699
9,0.201709
622,0.170299
323,0.108454
289,0.348363
568,0.764093
290,0.271796
156,0.207211
464,0.339775
426,0.282632
306,0.315918
4,0.37592
12,0.680719
187,0.287001
406,0.35028
96,0.621998
509,0.381338
733,0.287001
548,0.428913
478,0.481339
501,0.325333
127,0.897341
199,0.222789
299,0.737512
162,0.271796
235,0.518178
23,0.381954
473,0.271796
487,0.312641
683,0.620653
303,0.377386
309,0.432123
569,0.116367
34,0.620653
686,0.616372
84,0.597274
733,0.287001
537,0.624752
181,0.368002
453,0.562511
67,0.721338
161,0.562695
307,0.592358
703,0.35758
181,0.368002
246,0.305363
316,0.671592
278,0.170299
346,0.59654
545,0.271796
419,0.475657
694,0.621998
622,0.170299
663,0.262124
262,0.757712
461,0.562695
373,0.562815
233,0.271796
466,0.799086
207,0.562815
263,0.271796
16,0.116367
513,0.430981
449,0.60982
429,0.346755
701,0.381338
632,0.154462
529,0.829953
245,0.369283
344,0.315918
353,0.528675
241,0.34202
633,0.138616
624,0.381338
726,0.418225
189,0.170299
138,0.359483
402,0.153947
511,0.680719
590,0.655329
334,0.721338
447,0.311438
119,0.799086
389,0.441374
644,0.271796
423,0.661837
131,0.116367
405,0.0768126
82,0.271796
643,0.562695
156,0.207211
617,0.438577
574,0.899663
272,0.562695
613,0.0865843
545,0.271796
685,0.153947
570,0.369283
537,0.624752
691,0.138616
85,0.581754
483,0.305363
455,0.343472
93,0.170299
744,0.381338
33,0.305363
321,0.475657
523,0.56685
426,0.282632
196,0.109177
301,0.291352
103,0.138616
224,0.228036
454,0.428851
585,0.168025
154,0.480939
