,Made Donation in March 2007
659,0.428138
276,0.152261
263,0.272569
303,0.333227
83,0.459936
500,0.717277
530,0.181073
244,0.204545
249,0.0191836
728,0.0828832
129,0.210986
534,0.149211
317,0.237944
401,0.272569
696,0.298339
192,0.241007
176,0.252295
571,0.442559
139,0.0994747
423,0.298994
563,0.372951
56,0.305903
528,0.338677
101,0.272569
467,0.247155
382,0.269249
466,0.329052
294,0.204545
512,0.306992
659,0.428138
389,0.280426
487,0.0401781
701,0.179109
419,0.224615
536,0.193211
240,0.264182
508,0.2113
515,0.204545
283,0.329106
650,0.272569
65,0.198305
228,0.183566
741,0.0614536
297,0.340213
464,0.166895
63,0.179109
231,0.301641
28,0.153473
248,0.204545
357,0.203966
300,0.471509
726,0.676845
680,0.201804
520,0.288967
254,0.0826204
582,0.207807
143,0.158911
98,0.262136
1,0.283849
221,0.469832
352,0.272569
64,0.150046
138,0.300364
745,0.328236
64,0.150046
688,0.152598
623,0.104003
289,0.261134
174,0.323844
690,0.272569
105,0.210639
427,0.184338
48,0.0334342
14,0.272569
657,0.0720784
301,0.142282
455,0.176696
579,0.233189
722,0.159125
98,0.262136
491,0.0334342
303,0.333227
466,0.329052
65,0.198305
300,0.471509
9,0.128689
622,0.241007
323,0.155821
289,0.261134
568,0.322337
290,0.272569
156,0.146596
464,0.166895
426,0.182598
306,0.269286
4,0.321698
12,0.321274
187,0.284345
406,0.0892251
96,0.181073
509,0.179109
733,0.145134
548,0.109076
478,0.250352
501,0.228216
127,0.298879
199,0.242676
299,0.378346
162,0.272569
235,0.178959
23,0.248572
473,0.272569
487,0.0401781
683,0.369346
303,0.333227
309,0.0708706
569,0.111187
34,0.348957
686,0.568833
84,0.302674
733,0.145134
537,0.388957
181,0.196711
453,0.800733
67,0.363215
161,0.40541
307,0.256655
703,0.228421
181,0.196711
246,0.202264
316,0.327738
278,0.241007
346,0.229727
545,0.272569
419,0.224615
694,0.181073
622,0.241007
663,0.0597783
262,0.513846
461,0.183681
373,0.923447
233,0.272569
466,0.329052
207,0.158911
263,0.272569
16,0.111187
513,0.0986439
449,0.291612
429,0.0477217
701,0.179109
632,0.0844989
529,0.403992
245,0.296604
344,0.168642
353,0.1823
241,0.316194
633,0.180874
624,0.179109
726,0.676845
189,0.241007
138,0.300364
402,0.204545
511,0.335895
590,0.264038
334,0.180437
447,0.0962665
119,0.329052
389,0.280426
644,0.272569
423,0.298994
131,0.111187
405,0.0282401
82,0.272569
643,0.961014
156,0.146596
617,0.101609
574,0.290905
272,0.19718
613,0.103944
545,0.272569
685,0.204545
570,0.217522
537,0.388957
691,0.180874
85,0.444617
483,0.202264
455,0.176696
93,0.241007
744,0.179109
33,0.202264
321,0.736611
523,0.259591
426,0.182598
196,0.160661
301,0.142282
103,0.180874
224,0.130084
454,0.133369
585,0.106
154,0.306097
