,Made Donation in March 2007
659,0.465828
276,0.290787
263,0.526851
303,0.238668
83,0.561008
500,0.810867
530,0.536138
244,0.0362757
249,0.0584825
728,0.0813727
129,0.170325
534,0.150083
317,0.374511
401,0.526851
696,0.384872
192,0.143556
176,0.108357
571,0.2386
139,0.267948
423,0.248611
563,0.656697
56,0.436582
528,0.512533
101,0.526851
467,0.391637
382,0.307957
466,0.309498
294,0.0362757
512,0.536282
659,0.465828
389,0.246534
487,0.327932
701,0.477964
419,0.0988919
536,0.196639
240,0.143073
508,0.275155
515,0.0362757
283,0.414958
650,0.526851
65,0.573556
228,0.0902825
741,0.344133
297,0.395952
464,0.177847
63,0.477964
231,0.568327
28,0.125309
248,0.0362757
357,0.051002
300,0.382111
726,0.540492
680,0.216593
520,0.595807
254,0.0476441
582,0.167217
143,0.234471
98,0.624273
1,0.292984
221,0.451632
352,0.526851
64,0.0365244
138,0.287978
745,0.431029
64,0.0365244
688,0.143614
623,0.0508233
289,0.145791
174,0.11551
690,0.526851
105,0.0332809
427,0.170522
48,0.163087
14,0.526851
657,0.0860696
301,0.188117
455,0.176423
579,0.267689
722,0.0972883
98,0.624273
491,0.163087
303,0.238668
466,0.309498
65,0.573556
300,0.382111
9,0.0282943
622,0.143556
323,0.143048
289,0.145791
568,0.289052
290,0.526851
156,0.125002
464,0.177847
426,0.0634191
306,0.160633
4,0.136659
12,0.315027
187,0.101123
406,0.168267
96,0.536138
509,0.477964
733,0.115689
548,0.132712
478,0.0807498
501,0.0439067
127,0.561937
199,0.126619
299,0.502041
162,0.526851
235,0.21103
23,0.0421875
473,0.526851
487,0.327932
683,0.676424
303,0.238668
309,0.0935887
569,0.0403216
34,0.458966
686,0.812994
84,0.282108
733,0.115689
537,0.711895
181,0.0489363
453,0.377757
67,0.449363
161,0.316205
307,0.475825
703,0.140473
181,0.0489363
246,0.0733187
316,0.269895
278,0.143556
346,0.145616
545,0.526851
419,0.0988919
694,0.536138
622,0.143556
663,0.125174
262,0.755855
461,0.516912
373,0.491422
233,0.526851
466,0.309498
207,0.234471
263,0.526851
16,0.0403216
513,0.0957396
449,0.266406
429,0.0445125
701,0.477964
632,0.0985699
529,0.364488
245,0.213987
344,0.200083
353,0.21633
241,0.199943
633,0.0114055
624,0.477964
726,0.540492
189,0.143556
138,0.287978
402,0.0362757
511,0.373855
590,0.228533
334,0.235058
447,0.0433974
119,0.309498
389,0.246534
644,0.526851
423,0.248611
131,0.0403216
405,0.175987
82,0.526851
643,0.712817
156,0.125002
617,0.128212
574,0.560127
272,0.516912
613,0.024272
545,0.526851
685,0.0362757
570,0.0658476
537,0.711895
691,0.0114055
85,0.511985
483,0.0733187
455,0.176423
93,0.143556
744,0.477964
33,0.0733187
321,0.671937
523,0.362528
426,0.0634191
196,0.171828
301,0.188117
103,0.0114055
224,0.362067
454,0.249767
585,0.144839
154,0.362698
