,Made Donation in March 2007
659,0.588486
276,0.630382
263,0.372434
303,0.630382
83,0.627051
500,0.610265
530,0.768722
244,0.253194
249,0.0814923
728,0.470843
129,0.869733
534,0.470591
317,0.458192
401,0.372434
696,0.70655
192,0.315763
176,0.70655
571,0.596691
139,0.458388
423,0.685609
563,0.685609
56,0.626271
528,0.70655
101,0.372434
467,0.630382
382,0.458388
466,0.739391
294,0.253194
512,0.869733
659,0.588486
389,0.458388
487,0.458388
701,0.372434
419,0.473356
536,0.216922
240,0.685609
508,0.216922
515,0.253194
283,0.704138
650,0.372434
65,0.768722
228,0.626271
741,0.458388
297,0.70655
464,0.678585
63,0.372434
231,0.873581
28,0.626271
248,0.253194
357,0.704138
300,0.478396
726,0.458388
680,0.767239
520,0.58756
254,0.243371
582,0.588486
143,0.45684
98,0.889182
1,0.626271
221,0.470843
352,0.372434
64,0.243371
138,0.573967
745,0.457827
64,0.243371
688,0.333295
623,0.470843
289,0.470843
174,0.588756
690,0.372434
105,0.626271
427,0.767239
48,0.064559
14,0.372434
657,0.588486
301,0.470843
455,0.704138
579,0.457241
722,0.632891
98,0.889182
491,0.064559
303,0.630382
466,0.739391
65,0.768722
300,0.478396
9,0.208105
622,0.315763
323,0.339204
289,0.470843
568,0.70655
290,0.372434
156,0.146811
464,0.678585
426,0.678372
306,0.589194
4,0.610265
12,0.767239
187,0.473356
406,0.470843
96,0.768722
509,0.372434
733,0.473356
548,0.626271
478,0.626271
501,0.678372
127,0.889182
199,0.458388
299,0.609636
162,0.372434
235,0.847023
23,0.678372
473,0.372434
487,0.458388
683,0.704138
303,0.630382
309,0.596691
569,0.110455
34,0.704138
686,0.630382
84,0.442413
733,0.473356
537,0.70655
181,0.627051
453,0.457827
67,0.588486
161,0.458388
307,0.587542
703,0.739391
181,0.627051
246,0.690682
316,0.70655
278,0.315763
346,0.869733
545,0.372434
419,0.473356
694,0.768722
622,0.315763
663,0.457827
262,0.676132
461,0.458388
373,0.45684
233,0.372434
466,0.739391
207,0.45684
263,0.372434
16,0.110455
513,0.626271
449,0.632891
429,0.470591
701,0.372434
632,0.216922
529,0.81398
245,0.632891
344,0.589194
353,0.848019
241,0.45684
633,0.235808
624,0.372434
726,0.458388
189,0.315763
138,0.573967
402,0.253194
511,0.767239
590,0.869733
334,0.588486
447,0.584577
119,0.739391
389,0.458388
644,0.372434
423,0.685609
131,0.110455
405,0.0561174
82,0.372434
643,0.458388
156,0.146811
617,0.630382
574,0.898087
272,0.458388
613,0.146811
545,0.372434
685,0.253194
570,0.632891
537,0.70655
691,0.235808
85,0.589965
483,0.690682
455,0.704138
93,0.315763
744,0.372434
33,0.690682
321,0.473356
523,0.70655
426,0.678372
196,0.312265
301,0.470843
103,0.235808
224,0.442413
454,0.587542
585,0.335994
154,0.470843
