,Made Donation in March 2007
659,0.328721
276,0.126353
263,0.248848
303,0.257533
83,0.365725
500,0.549425
530,0.266175
244,0.146216
249,0.0386841
728,0.0970021
129,0.173416
534,0.144816
317,0.214516
401,0.248848
696,0.239088
192,0.172695
176,0.208352
571,0.325264
139,0.0985314
423,0.240349
563,0.304154
56,0.248005
528,0.281518
101,0.248848
467,0.210302
382,0.233546
466,0.265992
294,0.146216
512,0.249615
659,0.328721
389,0.242839
487,0.0587244
701,0.274322
419,0.204522
536,0.173576
240,0.2161
508,0.188764
515,0.146216
283,0.26778
650,0.248848
65,0.286655
228,0.151373
741,0.0829326
297,0.275958
464,0.137723
63,0.274322
231,0.272796
28,0.130858
248,0.146216
357,0.166766
300,0.352857
726,0.455492
680,0.164442
520,0.237153
254,0.0766121
582,0.176895
143,0.177058
98,0.300372
1,0.233589
221,0.349959
352,0.248848
64,0.132998
138,0.225351
745,0.273343
64,0.132998
688,0.122567
623,0.120291
289,0.182176
174,0.253975
690,0.248848
105,0.17387
427,0.150847
48,0.0339546
14,0.248848
657,0.0748322
301,0.141197
455,0.143069
579,0.215684
722,0.13289
98,0.300372
491,0.0339546
303,0.257533
466,0.265992
65,0.286655
300,0.352857
9,0.0973979
622,0.172695
323,0.124164
289,0.182176
568,0.258218
290,0.248848
156,0.151494
464,0.137723
426,0.141133
306,0.20678
4,0.246401
12,0.264496
187,0.220369
406,0.0887235
96,0.266175
509,0.274322
733,0.140949
548,0.0951849
478,0.205285
501,0.175111
127,0.302853
199,0.18844
299,0.299228
162,0.248848
235,0.143184
23,0.190402
473,0.248848
487,0.0587244
683,0.304786
303,0.257533
309,0.0726747
569,0.0863971
34,0.285924
686,0.438547
84,0.232856
733,0.140949
537,0.330832
181,0.163238
453,0.57522
67,0.290022
161,0.314405
307,0.218963
703,0.186033
181,0.163238
246,0.157899
316,0.265843
278,0.172695
346,0.190863
545,0.248848
419,0.204522
694,0.266175
622,0.172695
663,0.0874485
262,0.418731
461,0.198889
373,0.713246
233,0.248848
466,0.265992
207,0.177058
263,0.248848
16,0.0863971
513,0.0867213
449,0.236783
429,0.0599147
701,0.274322
632,0.080827
529,0.367508
245,0.237524
344,0.14213
353,0.146846
241,0.246292
633,0.130498
624,0.274322
726,0.455492
189,0.172695
138,0.225351
402,0.146216
511,0.282503
590,0.307287
334,0.178016
447,0.0982047
119,0.265992
389,0.242839
644,0.248848
423,0.240349
131,0.0863971
405,0.0298823
82,0.248848
643,0.774808
156,0.151494
617,0.0914373
574,0.290107
272,0.206042
613,0.110914
545,0.248848
685,0.146216
570,0.178153
537,0.330832
691,0.130498
85,0.32748
483,0.157899
455,0.143069
93,0.172695
744,0.274322
33,0.157899
321,0.523025
523,0.205745
426,0.141133
196,0.130624
301,0.141197
103,0.130498
224,0.102905
454,0.112694
585,0.0877338
154,0.2527
