,Made Donation in March 2007
659,0.357442
276,0.261564
263,0.17196
303,0.432966
83,0.531295
500,0.726432
530,0.469058
244,0.0793614
249,0.0388922
728,0.0981254
129,0.219722
534,0.168586
317,0.213662
401,0.17196
696,0.215202
192,0.0895025
176,0.320812
571,0.446896
139,0.189077
423,0.19909
563,0.35424
56,0.255371
528,0.385655
101,0.17196
467,0.125917
382,0.226991
466,0.190555
294,0.0793614
512,0.227273
659,0.357442
389,0.22784
487,0.105282
701,0.362752
419,0.185923
536,0.0843728
240,0.344349
508,0.0851229
515,0.0793614
283,0.308388
650,0.17196
65,0.471468
228,0.244495
741,0.105526
297,0.27263
464,0.138201
63,0.362752
231,0.350472
28,0.126957
248,0.0793614
357,0.245986
300,0.379567
726,0.447459
680,0.227392
520,0.232663
254,0.0816507
582,0.230116
143,0.136659
98,0.558119
1,0.17346
221,0.358102
352,0.17196
64,0.0861083
138,0.306244
745,0.25113
64,0.0861083
688,0.104133
623,0.0987222
289,0.361145
174,0.323573
690,0.17196
105,0.207447
427,0.225697
48,0.0442979
14,0.17196
657,0.114951
301,0.162899
455,0.148188
579,0.204043
722,0.171553
98,0.558119
491,0.0442979
303,0.432966
466,0.190555
65,0.471468
300,0.379567
9,0.0645611
622,0.0895025
323,0.106468
289,0.361145
568,0.21684
290,0.17196
156,0.0707444
464,0.138201
426,0.141436
306,0.406706
4,0.393714
12,0.298931
187,0.30895
406,0.176199
96,0.469058
509,0.362752
733,0.156626
548,0.123252
478,0.210645
501,0.144397
127,0.434523
199,0.268656
299,0.31553
162,0.17196
235,0.178902
23,0.145596
473,0.17196
487,0.105282
683,0.417669
303,0.432966
309,0.0962042
569,0.0614225
34,0.362872
686,0.630163
84,0.12137
733,0.156626
537,0.50272
181,0.171072
453,0.514556
67,0.297073
161,0.285872
307,0.200963
703,0.183933
181,0.171072
246,0.154866
316,0.271672
278,0.0895025
346,0.232305
545,0.17196
419,0.185923
694,0.469058
622,0.0895025
663,0.0656468
262,0.604581
461,0.162714
373,0.646959
233,0.17196
466,0.190555
207,0.136659
263,0.17196
16,0.0614225
513,0.122211
449,0.223485
429,0.0767774
701,0.362752
632,0.0782358
529,0.579305
245,0.400295
344,0.217548
353,0.191862
241,0.279964
633,0.0742723
624,0.362752
726,0.447459
189,0.0895025
138,0.306244
402,0.0793614
511,0.363984
590,0.723994
334,0.0986668
447,0.0959181
119,0.190555
389,0.22784
644,0.17196
423,0.19909
131,0.0614225
405,0.0425449
82,0.17196
643,0.588151
156,0.0707444
617,0.116149
574,0.365509
272,0.170511
613,0.0685514
545,0.17196
685,0.0793614
570,0.217667
537,0.50272
691,0.0742723
85,0.342148
483,0.154866
455,0.148188
93,0.0895025
744,0.362752
33,0.154866
321,0.601803
523,0.161006
426,0.141436
196,0.100677
301,0.162899
103,0.0742723
224,0.111909
454,0.248724
585,0.0988598
154,0.259347
