,Made Donation in March 2007
659,0.427632
276,7.11E-06
263,0.0843683
303,0.00349217
83,0.187774
500,0.468692
530,0.091057
244,0.000261315
249,1.45E-06
728,0.000335805
129,0.000555126
534,0.00250181
317,0.105772
401,0.0843683
696,0.105879
192,0.00151626
176,0.00230156
571,0.0449241
139,3.95E-06
423,0.175515
563,0.329677
56,0.122788
528,0.0780474
101,0.0843683
467,0.26035
382,0.131953
466,0.244572
294,0.000261315
512,0.0982191
659,0.427632
389,0.214622
487,2.20E-06
701,0.229453
419,0.132083
536,0.091057
240,0.00250181
508,0.244572
515,0.000261315
283,0.122788
650,0.0843683
65,0.244572
228,0.000122851
741,0.000122851
297,0.293821
464,0.000308873
63,0.229453
231,0.105879
28,0.000308873
248,0.000261315
357,0.000365084
300,0.468973
726,0.259698
680,0.000335805
520,0.122788
254,1.45E-06
582,0.00271942
143,0.329677
98,0.114061
1,0.276773
221,0.489841
352,0.0843683
64,0.00164829
138,0.00271636
745,0.448213
64,0.00164829
688,8.79E-05
623,0.00626747
289,1.51E-05
174,0.0325678
690,0.0843683
105,0.00211731
427,0.000103933
48,2.01E-10
14,0.0843683
657,1.71E-06
301,0.00250181
455,0.000308873
579,0.175351
722,0.000103933
98,0.114061
491,2.01E-10
303,0.00349217
466,0.244572
65,0.244572
300,0.468973
9,4.31E-06
622,0.00151626
323,8.79E-05
289,1.51E-05
568,0.276773
290,0.0843683
156,0.091057
464,0.000308873
426,8.79E-05
306,0.000186613
4,0.00349217
12,0.114061
187,0.0037956
406,2.39E-06
96,0.091057
509,0.229453
733,0.00230156
548,5.09E-06
478,0.0216799
501,0.00164829
127,0.276773
199,0.000509462
299,0.387277
162,0.0843683
235,9.56E-05
23,0.00530732
473,0.0843683
487,2.20E-06
683,0.141968
303,0.00349217
309,1.58E-06
569,1.33E-06
34,0.132083
686,0.244154
84,0.244572
733,0.00230156
537,0.152462
181,0.00194778
453,0.886176
67,0.387277
161,0.510744
307,0.122788
703,0.00164829
181,0.00194778
246,0.000284101
316,0.187946
278,0.00151626
346,0.0017918
545,0.0843683
419,0.132083
694,0.091057
622,0.00151626
663,0.0017918
262,0.448213
461,0.427632
373,0.82466
233,0.0843683
466,0.244572
207,0.329677
263,0.0843683
16,1.33E-06
513,1.58E-06
449,0.114061
429,1.58E-06
701,0.229453
632,4.68E-06
529,0.36763
245,0.00295592
344,0.000122851
353,9.56E-05
241,0.0276604
633,8.09E-05
624,0.229453
726,0.259698
189,0.00151626
138,0.00271636
402,0.000261315
511,0.122788
590,0.00949014
334,0.26035
447,9.56E-05
119,0.244572
389,0.214622
644,0.0843683
423,0.175515
131,1.33E-06
405,6.23E-11
82,0.0843683
643,0.894129
156,0.091057
617,5.09E-06
574,0.26035
272,0.427632
613,0.00164829
545,0.0843683
685,0.000261315
570,0.00211731
537,0.152462
691,8.09E-05
85,0.244154
483,0.000284101
455,0.000308873
93,0.00151626
744,0.229453
33,0.000284101
321,0.367105
523,0.0326034
426,8.79E-05
196,0.000284101
301,0.00250181
103,8.09E-05
224,4.68E-06
454,2.39E-06
585,1.45E-06
154,0.175351
